"","stadium","stadiumLabel","location","capacity","image","commune","communeLabel","communeImage"
"1","<http://www.wikidata.org/entity/Q252481>","""Stade Bordeaux-Atlantique""@en","""Point(-0.563333 44.896944)""^^<http://www.opengis.net/ont/geosparql#wktLiteral>",42566,"<http://commons.wikimedia.org/wiki/Special:FilePath/Grand%20Stade%20de%20Bordeaux.jpg>","<http://www.wikidata.org/entity/Q1479>","""Bordeaux""@en","<http://commons.wikimedia.org/wiki/Special:FilePath/138%20-%20Place%20de%20la%20Bourse%20et%20le%20miroir%20d%27eau%20-%20Bordeaux.jpg>"
"2","<http://www.wikidata.org/entity/Q738044>","""Stadium Municipal""@en","""Point(1.433889 43.583056)""^^<http://www.opengis.net/ont/geosparql#wktLiteral>",35472,"<http://commons.wikimedia.org/wiki/Special:FilePath/StadiumToulouse3.JPG>","<http://www.wikidata.org/entity/Q7880>","""Toulouse""@en","<http://commons.wikimedia.org/wiki/Special:FilePath/Montage%20Toulouse%202.jpg>"
"3","<http://www.wikidata.org/entity/Q202150>","""Stade Vélodrome""@en","""Point(5.395833333 43.269722222)""^^<http://www.opengis.net/ont/geosparql#wktLiteral>",67000,"<http://commons.wikimedia.org/wiki/Special:FilePath/IMAG2704.jpg>","<http://www.wikidata.org/entity/Q23482>","""Marseille""@en","<http://commons.wikimedia.org/wiki/Special:FilePath/MarseillePaysage.jpg>"
"4","<http://www.wikidata.org/entity/Q127372>","""Allianz Riviera""@en","""Point(7.194444 43.706944)""^^<http://www.opengis.net/ont/geosparql#wktLiteral>",35624,"<http://commons.wikimedia.org/wiki/Special:FilePath/Allianzcoupdenvoi.jpg>","<http://www.wikidata.org/entity/Q33959>","""Nice""@en","<http://commons.wikimedia.org/wiki/Special:FilePath/Port%20Of%20Nice%2C%20C%C3%B4te%20d%27Azur.jpg>"
"5","<http://www.wikidata.org/entity/Q861000>","""Stade Geoffroy-Guichard""@en","""Point(4.39 45.460833)""^^<http://www.opengis.net/ont/geosparql#wktLiteral>",40454,"<http://commons.wikimedia.org/wiki/Special:FilePath/Stade%20Geoffroy-Guichard%20-%20Saint-Etienne%20%2810-11-2013%29.jpg>","<http://www.wikidata.org/entity/Q42716>","""Saint-Étienne""@en","<http://commons.wikimedia.org/wiki/Special:FilePath/Vueste1.jpg>"
"6","<http://www.wikidata.org/entity/Q1410402>","""Stade Pierre-Mauroy""@en","""Point(3.130556 50.611944)""^^<http://www.opengis.net/ont/geosparql#wktLiteral>",50186,"<http://commons.wikimedia.org/wiki/Special:FilePath/Grand%20Stade%20Lille%20M%C3%A9tropole%20LOSC%20first%20match.JPG>","<http://www.wikidata.org/entity/Q43295>","""Villeneuve-d'Ascq""@en","<http://commons.wikimedia.org/wiki/Special:FilePath/Jielbeaumadier%20chateau%20flers%20neige%20vda%2020101221%201.jpg>"
"7","<http://www.wikidata.org/entity/Q13205>","""Stade de France""@en","""Point(2.360104 48.924438)""^^<http://www.opengis.net/ont/geosparql#wktLiteral>",81338,"<http://commons.wikimedia.org/wiki/Special:FilePath/Finale%20Coupe%20de%20France%202010-2011%20%28Lille%20LOSC%20vs%20Paris%20SG%20PSG%29.jpg>","<http://www.wikidata.org/entity/Q160506>","""Saint-Denis""@en","<http://commons.wikimedia.org/wiki/Special:FilePath/SAINT-DENIS%20-%20Canal%20St%20Denis%2C%20Pont%20Tournant%20%26%20Basilique.JPG>"
"8","<http://www.wikidata.org/entity/Q854122>","""Stade Félix-Bollaert""@en","""Point(2.814722 50.432778)""^^<http://www.opengis.net/ont/geosparql#wktLiteral>",38233,"<http://commons.wikimedia.org/wiki/Special:FilePath/Stade%20Bollaert%20%28Coupe%20du%20Monde%20de%20Rugby%202007%29.jpg>","<http://www.wikidata.org/entity/Q165271>","""Lens""@en","<http://commons.wikimedia.org/wiki/Special:FilePath/Lens-mairie.jpg>"
"9","<http://www.wikidata.org/entity/Q193431>","""Parc des Princes""@en","""Point(2.253055555 48.841388888)""^^<http://www.opengis.net/ont/geosparql#wktLiteral>",48712,"<http://commons.wikimedia.org/wiki/Special:FilePath/Paris-Parc-des-Princes.jpg>","<http://www.wikidata.org/entity/Q194420>","""16th arrondissement of Paris""@en","<http://commons.wikimedia.org/wiki/Special:FilePath/Palais%20de%20Tokyo.jpg>"
"10","<http://www.wikidata.org/entity/Q8507>","""Parc Olympique lyonnais""@en","""Point(4.979825 45.764327777)""^^<http://www.opengis.net/ont/geosparql#wktLiteral>",59186,"<http://commons.wikimedia.org/wiki/Special:FilePath/Stade%20Lumi%C3%A8re.jpg>","<http://www.wikidata.org/entity/Q1056120>","""Décines-Charpieu""@en","<http://commons.wikimedia.org/wiki/Special:FilePath/Decines-Charpieu%20Mairie.JPG>"
